,model_name,moyenne,ELBO,Reconstruction_error,RMSE_SIGMA,RMSE_B,RMSE_PI,RMSE_B0,TIME,NBITER
0,Enhanced Analytic,0.1,43064059.284764856,0.6638156663238505,0.9559704394266234,0.35525032828719166,0.09638420393955598,654.22050904015,21.629848957061768,541
0,Enhanced Analytic,0.1,43133692.37103855,0.6638674097029487,0.9559746613929554,0.48128773008171744,0.12030229037044737,633.4758914428897,20.233965396881104,543
0,Enhanced Analytic,0.1,43301851.21402347,0.6711778756240367,0.9562640274738758,0.48116533450174104,0.12709498919488454,667.0374935326885,17.97099781036377,550
0,Enhanced Analytic,0.1,43138487.73720998,0.6605182142588387,0.9558489296543079,0.3956633014777403,0.10488865429250564,649.9304328952509,21.63921809196472,546
0,Enhanced Analytic,0.1,43126004.9096165,0.6583047279311557,0.9558706491988374,0.38061551545448774,0.10063490180073535,668.8424438943565,18.45863389968872,553
0,Enhanced Analytic,0.1,43439910.15331942,0.6644559852457125,0.9560531053838706,0.4203606904860224,0.11303837021937509,632.5866105019428,17.431076288223267,554
0,Enhanced Analytic,0.1,43749652.08392482,0.6609012065286408,0.9559534093975082,0.5178113809298424,0.13353452500050902,685.6444158809601,18.772406101226807,552
0,Enhanced Analytic,0.1,42628044.93792597,0.6678675533127201,0.9561852859363499,0.46613858691062027,0.1178840597167542,614.0635306306314,18.67803454399109,552
0,Enhanced Analytic,0.1,43378903.531824484,0.6646368321164794,0.956047122656703,0.352037882620775,0.09784680969341654,635.5665947001769,19.41778302192688,542
0,Enhanced Analytic,0.1,43305851.50749429,0.6555579940334557,0.9557878679737893,0.35794062048786346,0.09783151260475305,633.2473836245646,17.788655281066895,549
0,Enhanced Analytic,0.1,43253853.60283922,0.6663817896495483,0.9561106550681241,0.47499529933067136,0.12048670166804719,655.1868185211935,19.215254068374634,543
0,Enhanced Analytic,0.1,43498588.00855192,0.6596057827550968,0.9557315047497555,0.34348823873386697,0.10167762899125293,663.6202992628802,17.606155395507812,554
0,Enhanced Analytic,0.1,43469192.46500748,0.6682659106537047,0.9561477374994002,0.3793783705784525,0.1062541774513399,660.4448378467746,19.16037130355835,546
0,Enhanced Analytic,0.1,43751293.16832588,0.6636193078813132,0.9557766526593188,0.3389078183103801,0.10014031944536407,654.9039746367271,24.158916234970093,536
0,Enhanced Analytic,0.1,43243177.86859731,0.6559239924761517,0.9559948413694181,0.5216727139051713,0.13066750679996436,673.0949450345489,23.105868101119995,539
0,Enhanced Analytic,0.21666666666666667,38478931.300874285,0.5517326128973788,0.953467874129503,0.5148605668368588,0.13149833592667046,537.6085259568472,18.823476552963257,547
0,Enhanced Analytic,0.21666666666666667,38790605.544562675,0.5528958278008504,0.9535706868536358,0.6853300539379343,0.1588478797244646,553.1762057808461,24.414082050323486,539
0,Enhanced Analytic,0.21666666666666667,38621945.859864846,0.5665200849878308,0.9537529395704908,0.4375710685664931,0.12045394387360887,508.28599178712324,20.060399770736694,543
0,Enhanced Analytic,0.21666666666666667,38543192.603931285,0.556371496851627,0.9536758357420948,0.5074405897177556,0.13143620255428415,531.1874094370465,18.232099056243896,553
0,Enhanced Analytic,0.21666666666666667,38587551.39565345,0.5488693134530729,0.953463228738992,0.45802441774322566,0.1169838500652176,532.841115750256,19.317625045776367,551
0,Enhanced Analytic,0.21666666666666667,38934415.17926602,0.559817298888658,0.9535921400284278,0.47754709307066057,0.1323066790040398,521.2837080920202,20.155558109283447,544
0,Enhanced Analytic,0.21666666666666667,38912367.7795814,0.5654977438358881,0.953916314319537,0.6221559679841041,0.13886848640173938,508.0458789712427,20.22942614555359,540
0,Enhanced Analytic,0.21666666666666667,38181282.54715131,0.5631149996948626,0.9536839815151875,0.4906274322679454,0.1239882974362506,491.2566767631123,20.20351004600525,545
0,Enhanced Analytic,0.21666666666666667,38709409.01219908,0.5518814006976953,0.9533652838900434,0.4760162942173284,0.13067318363893635,526.3271190106349,19.09732437133789,547
