,n,p,d,seed,method,Coverage
129,250,40,1,4,Variational Fisher,1.0
130,250,40,1,5,Sandwich,0.95
131,250,40,1,5,Variational Fisher,1.0
132,250,40,1,6,Sandwich,0.875
133,250,40,1,6,Variational Fisher,1.0
134,250,40,1,7,Sandwich,0.9
135,250,40,1,7,Variational Fisher,1.0
136,250,40,1,8,Sandwich,0.85
137,250,40,1,8,Variational Fisher,1.0
138,250,40,1,9,Sandwich,0.9
139,250,40,1,9,Variational Fisher,1.0
140,250,40,2,0,Sandwich,0.7125
141,250,40,2,0,Variational Fisher,1.0
142,250,40,2,1,Sandwich,0.8625
143,250,40,2,1,Variational Fisher,1.0
144,250,40,2,2,Sandwich,0.7375
145,250,40,2,2,Variational Fisher,1.0
146,250,40,2,3,Sandwich,0.7875
147,250,40,2,3,Variational Fisher,1.0
148,250,40,2,4,Sandwich,0.85
149,250,40,2,4,Variational Fisher,1.0
150,250,40,2,5,Sandwich,0.8
151,250,40,2,5,Variational Fisher,1.0
152,250,40,2,6,Sandwich,0.725
153,250,40,2,6,Variational Fisher,1.0
154,250,40,2,7,Sandwich,0.675
155,250,40,2,7,Variational Fisher,1.0
156,250,40,2,8,Sandwich,0.6375
157,250,40,2,8,Variational Fisher,1.0
158,250,40,2,9,Sandwich,0.825
159,250,40,2,9,Variational Fisher,1.0
160,250,40,3,0,Sandwich,0.7083333333333334
161,250,40,3,0,Variational Fisher,1.0
162,250,40,3,1,Sandwich,0.5833333333333334
163,250,40,3,1,Variational Fisher,1.0
164,250,40,3,2,Sandwich,0.7166666666666667
165,250,40,3,2,Variational Fisher,1.0
166,250,40,3,3,Sandwich,0.6416666666666667
167,250,40,3,3,Variational Fisher,1.0
168,250,40,3,4,Sandwich,0.7
169,250,40,3,4,Variational Fisher,1.0
170,250,40,3,5,Sandwich,0.7416666666666667
171,250,40,3,5,Variational Fisher,1.0
172,250,40,3,6,Sandwich,0.6833333333333333
173,250,40,3,6,Variational Fisher,1.0
174,250,40,3,7,Sandwich,0.575
175,250,40,3,7,Variational Fisher,1.0
176,250,40,3,8,Sandwich,0.5416666666666666
177,250,40,3,8,Variational Fisher,1.0
178,250,40,3,9,Sandwich,0.6416666666666667
179,250,40,3,9,Variational Fisher,1.0
180,500,10,1,0,Sandwich,1.0
181,500,10,1,0,Variational Fisher,1.0
182,500,10,1,1,Sandwich,0.8
183,500,10,1,1,Variational Fisher,1.0
184,500,10,1,2,Sandwich,0.9
185,500,10,1,2,Variational Fisher,1.0
186,500,10,1,3,Sandwich,0.9
187,500,10,1,3,Variational Fisher,1.0
188,500,10,1,4,Sandwich,0.9
189,500,10,1,4,Variational Fisher,1.0
190,500,10,1,5,Sandwich,1.0
191,500,10,1,5,Variational Fisher,1.0
192,500,10,1,6,Sandwich,1.0
193,500,10,1,6,Variational Fisher,1.0
194,500,10,1,7,Sandwich,1.0
195,500,10,1,7,Variational Fisher,1.0
196,500,10,1,8,Sandwich,1.0
197,500,10,1,8,Variational Fisher,1.0
198,500,10,1,9,Sandwich,0.9
199,500,10,1,9,Variational Fisher,1.0
200,500,10,2,0,Sandwich,0.75
201,500,10,2,0,Variational Fisher,1.0
202,500,10,2,1,Sandwich,0.9
203,500,10,2,1,Variational Fisher,1.0
204,500,10,2,2,Sandwich,0.95
205,500,10,2,2,Variational Fisher,1.0
206,500,10,2,3,Sandwich,0.9
207,500,10,2,3,Variational Fisher,1.0
208,500,10,2,4,Sandwich,0.95
