,n,p,d,seed,param,RMSE
57,250,10,2,8,sigma,0.1874716896098587
58,250,10,2,9,coef,0.10290999363499688
59,250,10,2,9,sigma,0.1574663361200783
60,250,10,2,10,coef,0.14870406247815862
61,250,10,2,10,sigma,0.1881025893701464
62,250,10,2,11,coef,0.1446295338952485
63,250,10,2,11,sigma,0.16555878501359736
64,250,10,2,12,coef,0.10316682618753636
65,250,10,2,12,sigma,0.17952184329829776
66,250,10,2,13,coef,0.15928835765862506
67,250,10,2,13,sigma,0.16275305818191318
68,250,10,2,14,coef,0.11499947870928606
69,250,10,2,14,sigma,0.16413332704518893
70,250,10,2,15,coef,0.16086866022279395
71,250,10,2,15,sigma,0.15109748772817055
72,250,10,2,16,coef,0.1444179003855407
73,250,10,2,16,sigma,0.1592870378068839
74,250,10,2,17,coef,0.14458562075266435
75,250,10,2,17,sigma,0.13111525495451914
76,250,10,2,18,coef,0.13643607160806676
77,250,10,2,18,sigma,0.15962487505881673
78,250,10,2,19,coef,0.14311774773116934
79,250,10,2,19,sigma,0.14598786052808466
80,250,10,3,0,coef,0.14929381494520202
81,250,10,3,0,sigma,0.13916765082909116
82,250,10,3,1,coef,0.15040313231301514
83,250,10,3,1,sigma,0.13962311337932065
84,250,10,3,2,coef,0.15905624273585078
85,250,10,3,2,sigma,0.1279520748044947
86,250,10,3,3,coef,0.14202929342257428
87,250,10,3,3,sigma,0.17697585314149394
88,250,10,3,4,coef,0.1530183405165107
89,250,10,3,4,sigma,0.13891558216530914
90,250,10,3,5,coef,0.15124564802121615
91,250,10,3,5,sigma,0.15024482698940494
92,250,10,3,6,coef,0.16685520932974257
93,250,10,3,6,sigma,0.1685478425033562
94,250,10,3,7,coef,0.15994871533456503
95,250,10,3,7,sigma,0.17246803017058784
96,250,10,3,8,coef,0.18026231348044258
97,250,10,3,8,sigma,0.19186635088861134
98,250,10,3,9,coef,0.13183150805253604
99,250,10,3,9,sigma,0.15966027436264835
100,250,10,3,10,coef,0.17106028549099475
101,250,10,3,10,sigma,0.17678312554179898
102,250,10,3,11,coef,0.1795312966117511
103,250,10,3,11,sigma,0.15638333620297953
104,250,10,3,12,coef,0.164533444119481
105,250,10,3,12,sigma,0.16688501829253116
106,250,10,3,13,coef,0.15616254515863115
107,250,10,3,13,sigma,0.17043476832859122
108,250,10,3,14,coef,0.1542770572371982
109,250,10,3,14,sigma,0.15170260696064133
110,250,10,3,15,coef,0.20503997514088187
111,250,10,3,15,sigma,0.14322600462388937
112,250,10,3,16,coef,0.20167833387852424
113,250,10,3,16,sigma,0.1614121656682496
114,250,10,3,17,coef,0.16118773311732873
115,250,10,3,17,sigma,0.12835676734873414
116,250,10,3,18,coef,0.19307291132895327
117,250,10,3,18,sigma,0.128523966766598
118,250,10,3,19,coef,0.16746296315789239
119,250,10,3,19,sigma,0.1414721350984209
120,250,10,4,0,coef,0.19963550079182368
121,250,10,4,0,sigma,0.1541394324674162
122,250,10,4,1,coef,0.15264587746510777
123,250,10,4,1,sigma,0.14614809223331274
124,250,10,4,2,coef,0.2052315054624434
125,250,10,4,2,sigma,0.14791050022646185
126,250,10,4,3,coef,0.2066741158126364
127,250,10,4,3,sigma,0.13870569579772826
128,250,10,4,4,coef,0.1607396925944073
129,250,10,4,4,sigma,0.13814192219641738
130,250,10,4,5,coef,0.16669909265055738
131,250,10,4,5,sigma,0.1724274615139189
132,250,10,4,6,coef,0.14772885254290624
133,250,10,4,6,sigma,0.13580392644881265
134,250,10,4,7,coef,0.18508203628489636
135,250,10,4,7,sigma,0.17873756825018822
136,250,10,4,8,coef,0.19122442465223094
137,250,10,4,8,sigma,0.18925185685669466
138,250,10,4,9,coef,0.18927564785761117
139,250,10,4,9,sigma,0.17262810803774642
140,250,10,4,10,coef,0.211347332405749
141,250,10,4,10,sigma,0.1904772108033965
142,250,10,4,11,coef,0.1842637257467774
143,250,10,4,11,sigma,0.13797153419737096
144,250,10,4,12,coef,0.18593744936505086
145,250,10,4,12,sigma,0.1874973210120376
146,250,10,4,13,coef,0.18751994530716423
147,250,10,4,13,sigma,0.16740128690888811
148,250,10,4,14,coef,0.14988595629405982
149,250,10,4,14,sigma,0.15710555761613906
150,250,10,4,15,coef,0.24523347198684733
151,250,10,4,15,sigma,0.1411164704204675
152,250,10,4,16,coef,0.20307136208510945
153,250,10,4,16,sigma,0.16407876034073537
154,250,10,4,17,coef,0.17701759137624198
155,250,10,4,17,sigma,0.13717193840319913
156,250,10,4,18,coef,0.20224088903665854
157,250,10,4,18,sigma,0.11873064886092158
158,250,10,4,19,coef,0.21953648242857762
159,250,10,4,19,sigma,0.15303816407549095
160,250,20,1,0,coef,0.10016221439099138
161,250,20,1,0,sigma,0.13580598427558355
162,250,20,1,1,coef,0.1062476596571485
163,250,20,1,1,sigma,0.15172340546285934
164,250,20,1,2,coef,0.08084357755029895
165,250,20,1,2,sigma,0.12196083122298335
166,250,20,1,3,coef,0.11139354564326914
167,250,20,1,3,sigma,0.14758884409829182
168,250,20,1,4,coef,0.1074979207674858
169,250,20,1,4,sigma,0.1650112372475929
170,250,20,1,5,coef,0.05699377423223917
171,250,20,1,5,sigma,0.13773217109938876
172,250,20,1,6,coef,0.09010570932240841
173,250,20,1,6,sigma,0.15668568917760192
174,250,20,1,7,coef,0.08056001549922011
175,250,20,1,7,sigma,0.14881666212246888
176,250,20,1,8,coef,0.08326925181594118
177,250,20,1,8,sigma,0.14929104232443388
178,250,20,1,9,coef,0.11045843202938839
179,250,20,1,9,sigma,0.132713227036337
180,250,20,1,10,coef,0.09639545593709375
181,250,20,1,10,sigma,0.14884333630164337
182,250,20,1,11,coef,0.11503442126584824
183,250,20,1,11,sigma,0.15677741578219037
184,250,20,1,12,coef,0.07535978641745461
185,250,20,1,12,sigma,0.14536570221042988
186,250,20,1,13,coef,0.06506977785270882
187,250,20,1,13,sigma,0.14382714671020339
188,250,20,1,14,coef,0.07979758509614532
189,250,20,1,14,sigma,0.15024471599377795
190,250,20,1,15,coef,0.10428164441410323
191,250,20,1,15,sigma,0.14119041283523795
192,250,20,1,16,coef,0.1042616041872885
193,250,20,1,16,sigma,0.1355401653389635
194,250,20,1,17,coef,0.08599654766521929
195,250,20,1,17,sigma,0.14213197861831628
196,250,20,1,18,coef,0.09111749681260609
197,250,20,1,18,sigma,0.14437642239143705
198,250,20,1,19,coef,0.13324634028976454
199,250,20,1,19,sigma,0.13491310560662012
200,250,20,2,0,coef,0.13247400287202538
201,250,20,2,0,sigma,0.13142378734553994
202,250,20,2,1,coef,0.11519641652656963
203,250,20,2,1,sigma,0.14323454427941915
204,250,20,2,2,coef,0.10791066321274498
205,250,20,2,2,sigma,0.136465959501845
206,250,20,2,3,coef,0.11218171440494909
207,250,20,2,3,sigma,0.14743949667960016
208,250,20,2,4,coef,0.13070787274888057
209,250,20,2,4,sigma,0.15346333292335412
210,250,20,2,5,coef,0.15174011264540602
211,250,20,2,5,sigma,0.14426984000950646
212,250,20,2,6,coef,0.0914280513855858
213,250,20,2,6,sigma,0.13808593898045177
214,250,20,2,7,coef,0.10493989739980848
215,250,20,2,7,sigma,0.15450200726245844
216,250,20,2,8,coef,0.11209145218998114
217,250,20,2,8,sigma,0.13673400157963544
218,250,20,2,9,coef,0.15792477894894252
219,250,20,2,9,sigma,0.14795170996556417
220,250,20,2,10,coef,0.1259521452522214
221,250,20,2,10,sigma,0.14307591200082972
222,250,20,2,11,coef,0.1397762605181159
223,250,20,2,11,sigma,0.15112330507084532
224,250,20,2,12,coef,0.10484270460057352
225,250,20,2,12,sigma,0.13860408934154494
226,250,20,2,13,coef,0.10931378544719585
227,250,20,2,13,sigma,0.1576367480532114
228,250,20,2,14,coef,0.10818530918625342
229,250,20,2,14,sigma,0.15610698893846392
230,250,20,2,15,coef,0.14421667313504213
231,250,20,2,15,sigma,0.14803638308331407
232,250,20,2,16,coef,0.132687666420713
233,250,20,2,16,sigma,0.15134023029162005
234,250,20,2,17,coef,0.14204601671181716
235,250,20,2,17,sigma,0.13578957280072063
236,250,20,2,18,coef,0.12169743790307219
237,250,20,2,18,sigma,0.1462006005346368
238,250,20,2,19,coef,0.1561501899340798
239,250,20,2,19,sigma,0.1258090206920779
240,250,20,3,0,coef,0.15558676599379445
241,250,20,3,0,sigma,0.1328870077741928
242,250,20,3,1,coef,0.1423910478504351
243,250,20,3,1,sigma,0.1407873774668717
244,250,20,3,2,coef,0.16915238064717883
245,250,20,3,2,sigma,0.13456399103087577
246,250,20,3,3,coef,0.17521406606328283
247,250,20,3,3,sigma,0.1417357470066953
248,250,20,3,4,coef,0.14755894762095825
249,250,20,3,4,sigma,0.17359796668539335
250,250,20,3,5,coef,0.16721555733111965
251,250,20,3,5,sigma,0.13780110533138223
252,250,20,3,6,coef,0.16523943239827213
253,250,20,3,6,sigma,0.13958866519850543
254,250,20,3,7,coef,0.15191480320194187
255,250,20,3,7,sigma,0.1414001257100869
256,250,20,3,8,coef,0.1565252954036936
257,250,20,3,8,sigma,0.14559651035949664
258,250,20,3,9,coef,0.21164928632673835
259,250,20,3,9,sigma,0.14922581310841604
260,250,20,3,10,coef,0.1401907645866358
261,250,20,3,10,sigma,0.13147069571969233
262,250,20,3,11,coef,0.18202398885041884
263,250,20,3,11,sigma,0.14802475850997024
264,250,20,3,12,coef,0.17578045864113495
265,250,20,3,12,sigma,0.14080562464835358
266,250,20,3,13,coef,0.14640035781787614
267,250,20,3,13,sigma,0.154732283674905
268,250,20,3,14,coef,0.15547697815864298
269,250,20,3,14,sigma,0.13348399450656884
270,250,20,3,15,coef,0.17602389032099805
271,250,20,3,15,sigma,0.16543079128388904
272,250,20,3,16,coef,0.1714631226579234
273,250,20,3,16,sigma,0.14556310296207498
274,250,20,3,17,coef,0.14787440307755337
275,250,20,3,17,sigma,0.144641829029424
276,250,20,3,18,coef,0.1652244821092651
277,250,20,3,18,sigma,0.13808283930160958
278,250,20,3,19,coef,0.1891520033072932
279,250,20,3,19,sigma,0.12606661483306625
280,250,20,4,0,coef,0.1785319806023787
281,250,20,4,0,sigma,0.13375847795180165
282,250,20,4,1,coef,0.18480124637714646
283,250,20,4,1,sigma,0.14283803631383862
284,250,20,4,2,coef,0.17020128597663078
285,250,20,4,2,sigma,0.13234375701243498
286,250,20,4,3,coef,0.20989871345683564
287,250,20,4,3,sigma,0.13643342034371486
288,250,20,4,4,coef,0.21377941778859239
289,250,20,4,4,sigma,0.1490509247090342
290,250,20,4,5,coef,0.17695172856300592
291,250,20,4,5,sigma,0.13258311213464688
292,250,20,4,6,coef,0.17882283904697102
293,250,20,4,6,sigma,0.146394183892698
294,250,20,4,7,coef,0.1818380210255287
295,250,20,4,7,sigma,0.1394190250242942
296,250,20,4,8,coef,0.21288453400155982
297,250,20,4,8,sigma,0.14577709679805612
298,250,20,4,9,coef,0.18939403545642286
299,250,20,4,9,sigma,0.14276321567411268
300,250,20,4,10,coef,0.18498069989868665
301,250,20,4,10,sigma,0.13424434766811114
302,250,20,4,11,coef,0.19820166506232614
303,250,20,4,11,sigma,0.15659208460374502
304,250,20,4,12,coef,0.18830918975092345
305,250,20,4,12,sigma,0.13298964350482056
306,250,20,4,13,coef,0.16893136706010028
307,250,20,4,13,sigma,0.15062884329828632
308,250,20,4,14,coef,0.18307997541630325
309,250,20,4,14,sigma,0.13764598835128644
310,250,20,4,15,coef,0.1989802493690717
311,250,20,4,15,sigma,0.14565415351505465
312,250,20,4,16,coef,0.19275839367450065
313,250,20,4,16,sigma,0.14595925044842506
314,250,20,4,17,coef,0.1950435840849095
315,250,20,4,17,sigma,0.13928193369859526
316,250,20,4,18,coef,0.16281189493470535
317,250,20,4,18,sigma,0.1442565625204431
318,250,20,4,19,coef,0.20419337411869226
319,250,20,4,19,sigma,0.13353957482328152
320,250,40,1,0,coef,0.12825038429364552
321,250,40,1,0,sigma,0.15200621366648515
322,250,40,1,1,coef,0.09898624348798815
323,250,40,1,1,sigma,0.15490966892641386
324,250,40,1,2,coef,0.08225618796035247
325,250,40,1,2,sigma,0.1413012361592344
326,250,40,1,3,coef,0.10018655222154954
327,250,40,1,3,sigma,0.12611418961563067
328,250,40,1,4,coef,0.1184898779321472
329,250,40,1,4,sigma,0.14598656319995829
330,250,40,1,5,coef,0.0858339587252783
331,250,40,1,5,sigma,0.14513777250111995
332,250,40,1,6,coef,0.12857385187198273
333,250,40,1,6,sigma,0.14428806934448343
334,250,40,1,7,coef,0.10588026008210903
335,250,40,1,7,sigma,0.15438215944846423
336,250,40,1,8,coef,0.10526790413357894
337,250,40,1,8,sigma,0.13469237615797586
338,250,40,1,9,coef,0.10546990234991525
339,250,40,1,9,sigma,0.12419229168534898
340,250,40,1,10,coef,0.07481233662246793
341,250,40,1,10,sigma,0.150609542550531
342,250,40,1,11,coef,0.08929561357180972
343,250,40,1,11,sigma,0.1509796285941972
344,250,40,1,12,coef,0.11121172221961513
345,250,40,1,12,sigma,0.138601493639006
346,250,40,1,13,coef,0.0712824981675726
347,250,40,1,13,sigma,0.1428415856094761
348,250,40,1,14,coef,0.08586866889132501
349,250,40,1,14,sigma,0.14988201920101513
350,250,40,1,15,coef,0.11052215952289043
351,250,40,1,15,sigma,0.13988564218127425
352,250,40,1,16,coef,0.08467812026511454
353,250,40,1,16,sigma,0.14615576409348893
354,250,40,1,17,coef,0.11206263194627189
355,250,40,1,17,sigma,0.14421922099337878
356,250,40,1,18,coef,0.07574039317920497
357,250,40,1,18,sigma,0.15402079432602536
358,250,40,1,19,coef,0.12184488802253238
359,250,40,1,19,sigma,0.1403013616112821
360,250,40,2,0,coef,0.15641652743587606
361,250,40,2,0,sigma,0.15345296339140677
362,250,40,2,1,coef,0.138049356731286
363,250,40,2,1,sigma,0.15357133616046956
364,250,40,2,2,coef,0.10676867750478201
365,250,40,2,2,sigma,0.13258899277116853
366,250,40,2,3,coef,0.1343570464619426
367,250,40,2,3,sigma,0.13230699451314326
368,250,40,2,4,coef,0.14041591838541617
369,250,40,2,4,sigma,0.13963283610318278
370,250,40,2,5,coef,0.10809628158386343
371,250,40,2,5,sigma,0.1393372957265849
372,250,40,2,6,coef,0.1398825996045154
373,250,40,2,6,sigma,0.14199891629885197
374,250,40,2,7,coef,0.14406037041197042
375,250,40,2,7,sigma,0.15139012784103992
376,250,40,2,8,coef,0.15580843035335853
377,250,40,2,8,sigma,0.14077086581733314
378,250,40,2,9,coef,0.14475755650021524
379,250,40,2,9,sigma,0.12958440673780597
380,250,40,2,10,coef,0.12397135432501136
381,250,40,2,10,sigma,0.1511951903495614
382,250,40,2,11,coef,0.1166787148707825
383,250,40,2,11,sigma,0.15429924548120494
384,250,40,2,12,coef,0.14079255010042202
385,250,40,2,12,sigma,0.13474736082676167
386,250,40,2,13,coef,0.12771687722637598
387,250,40,2,13,sigma,0.14689843913909623
388,250,40,2,14,coef,0.11371917920428405
389,250,40,2,14,sigma,0.13400528448130683
390,250,40,2,15,coef,0.1421229266191133
391,250,40,2,15,sigma,0.1447998272886595
392,250,40,2,16,coef,0.156225602286524
393,250,40,2,16,sigma,0.1468231775131338
394,250,40,2,17,coef,0.148404316159798
395,250,40,2,17,sigma,0.14591905375592934
396,250,40,2,18,coef,0.14824247076220626
397,250,40,2,18,sigma,0.14950004141712114
398,250,40,2,19,coef,0.16592411583704436
399,250,40,2,19,sigma,0.13948398544492804
400,250,40,3,0,coef,0.17617152985648227
401,250,40,3,0,sigma,0.1476906112697538
402,250,40,3,1,coef,0.18395859207978507
403,250,40,3,1,sigma,0.15404309515332168
404,250,40,3,2,coef,0.13411924621316443
405,250,40,3,2,sigma,0.13556412811824387
406,250,40,3,3,coef,0.1673704466166877
407,250,40,3,3,sigma,0.1302193603618089
408,250,40,3,4,coef,0.17331697694131384
409,250,40,3,4,sigma,0.14507736170105234
410,250,40,3,5,coef,0.17943549926240698
411,250,40,3,5,sigma,0.13862478488930735
412,250,40,3,6,coef,0.1755427943587564
413,250,40,3,6,sigma,0.13920321455680013
414,250,40,3,7,coef,0.15659069119062152
415,250,40,3,7,sigma,0.145654018959693
416,250,40,3,8,coef,0.17210476055628895
417,250,40,3,8,sigma,0.13752463233671275
418,250,40,3,9,coef,0.17865190332726277
419,250,40,3,9,sigma,0.127446909313045
420,250,40,3,10,coef,0.15885412114802083
421,250,40,3,10,sigma,0.1433319250362695
422,250,40,3,11,coef,0.1612222950660377
423,250,40,3,11,sigma,0.1528607925512434
424,250,40,3,12,coef,0.16692189094681203
425,250,40,3,12,sigma,0.13781387256357205
426,250,40,3,13,coef,0.15605350156478107
427,250,40,3,13,sigma,0.14539395278159536
428,250,40,3,14,coef,0.16534580029187823
429,250,40,3,14,sigma,0.1403313508531277
430,250,40,3,15,coef,0.16130687725896758
431,250,40,3,15,sigma,0.1378130855709288
432,250,40,3,16,coef,0.15475748410476495
433,250,40,3,16,sigma,0.13589446206213973
434,250,40,3,17,coef,0.19465557590519297
435,250,40,3,17,sigma,0.1443525970154165
436,250,40,3,18,coef,0.14209598359313913
437,250,40,3,18,sigma,0.15254529038430698
438,250,40,3,19,coef,0.16875957584976276
439,250,40,3,19,sigma,0.14585496675919252
440,250,40,4,0,coef,0.19147403578648287
441,250,40,4,0,sigma,0.14625117639291724
442,250,40,4,1,coef,0.15722371765088397
443,250,40,4,1,sigma,0.15164586858348908
444,250,40,4,2,coef,0.18411600855202775
445,250,40,4,2,sigma,0.1351402025429763
446,250,40,4,3,coef,0.16792956691389047
447,250,40,4,3,sigma,0.1358603239415997
448,250,40,4,4,coef,0.2109804546577339
449,250,40,4,4,sigma,0.136936157940486
450,250,40,4,5,coef,0.17384263238838643
451,250,40,4,5,sigma,0.14683482996320715
452,250,40,4,6,coef,0.20163357332394066
453,250,40,4,6,sigma,0.1406503919355666
454,250,40,4,7,coef,0.20229681015215376
455,250,40,4,7,sigma,0.14735718885882668
456,250,40,4,8,coef,0.2042500470925835
457,250,40,4,8,sigma,0.12685868939851036
458,250,40,4,9,coef,0.1965168262413442
459,250,40,4,9,sigma,0.12338751831611976
460,250,40,4,10,coef,0.21599156460675834
461,250,40,4,10,sigma,0.15152356884238985
462,250,40,4,11,coef,0.17148168412398987
463,250,40,4,11,sigma,0.15152474484684264
464,250,40,4,12,coef,0.18346357814766623
465,250,40,4,12,sigma,0.13171658538457845
466,250,40,4,13,coef,0.16323357671932168
467,250,40,4,13,sigma,0.13887424636095172
468,250,40,4,14,coef,0.19486885701192755
469,250,40,4,14,sigma,0.13902187378698252
470,250,40,4,15,coef,0.19775068841743673
471,250,40,4,15,sigma,0.1388069080423862
472,250,40,4,16,coef,0.1969486416292355
473,250,40,4,16,sigma,0.13918186954910677
474,250,40,4,17,coef,0.19437538490791395
475,250,40,4,17,sigma,0.14243633923245463
476,250,40,4,18,coef,0.20364652260775437
477,250,40,4,18,sigma,0.15268608460506594
478,250,40,4,19,coef,0.20782819756075063
479,250,40,4,19,sigma,0.13693950595978321
480,500,10,1,0,coef,0.07181596594279739
481,500,10,1,0,sigma,0.09948837376257515
482,500,10,1,1,coef,0.053642170756312973
483,500,10,1,1,sigma,0.10985131940234838
484,500,10,1,2,coef,0.054469584627445194
485,500,10,1,2,sigma,0.09947087642214113
486,500,10,1,3,coef,0.06354102954395478
487,500,10,1,3,sigma,0.1004010949045168
488,500,10,1,4,coef,0.05442716154483467
489,500,10,1,4,sigma,0.1193025396667704
490,500,10,1,5,coef,0.04483549698472221
491,500,10,1,5,sigma,0.11078068533227652
492,500,10,1,6,coef,0.044603669533748495
493,500,10,1,6,sigma,0.10127548997582064
494,500,10,1,7,coef,0.07550972370831822
495,500,10,1,7,sigma,0.09570886397039258
496,500,10,1,8,coef,0.049225885471261124
497,500,10,1,8,sigma,0.12492615878513275
498,500,10,1,9,coef,0.06629902930829927
499,500,10,1,9,sigma,0.09410275663452146
500,500,10,1,10,coef,0.06008841573877118
501,500,10,1,10,sigma,0.12416190115873907
502,500,10,1,11,coef,0.0806905097132099
503,500,10,1,11,sigma,0.11811280164432446
504,500,10,1,12,coef,0.036781344553540075
505,500,10,1,12,sigma,0.12043280067642392
506,500,10,1,13,coef,0.0549885885544263
507,500,10,1,13,sigma,0.10139397213710516
508,500,10,1,14,coef,0.049581188573059654
509,500,10,1,14,sigma,0.11713957622435844
510,500,10,1,15,coef,0.09255601395832808
511,500,10,1,15,sigma,0.12051022903859199
512,500,10,1,16,coef,0.052025743006277915
513,500,10,1,16,sigma,0.1272273539393433
514,500,10,1,17,coef,0.07183343166488593
515,500,10,1,17,sigma,0.10197668992570452
516,500,10,1,18,coef,0.04636134784704339
517,500,10,1,18,sigma,0.11563044196312701
518,500,10,1,19,coef,0.07164577221145813
519,500,10,1,19,sigma,0.1204345368871103
520,500,10,2,0,coef,0.09870459758931868
521,500,10,2,0,sigma,0.0934186899902349
522,500,10,2,1,coef,0.08443983848766061
523,500,10,2,1,sigma,0.11553697166562639
524,500,10,2,2,coef,0.0705943991830603
525,500,10,2,2,sigma,0.10053003225407069
526,500,10,2,3,coef,0.11314033669593594
527,500,10,2,3,sigma,0.10071704413804082
528,500,10,2,4,coef,0.09661945341809115
529,500,10,2,4,sigma,0.1264398259191721
530,500,10,2,5,coef,0.1139686897688166
531,500,10,2,5,sigma,0.1100791598845157
532,500,10,2,6,coef,0.06161671409350043
533,500,10,2,6,sigma,0.12085767344231814
534,500,10,2,7,coef,0.08857616117235206
535,500,10,2,7,sigma,0.08214891968507224
536,500,10,2,8,coef,0.07892453793590082
537,500,10,2,8,sigma,0.1269231612682939
538,500,10,2,9,coef,0.08476833514535048
539,500,10,2,9,sigma,0.10050508488157643
540,500,10,2,10,coef,0.09715300061385482
541,500,10,2,10,sigma,0.12270517802496975
542,500,10,2,11,coef,0.14312405264240355
543,500,10,2,11,sigma,0.12079067411126405
544,500,10,2,12,coef,0.06052117518537878
545,500,10,2,12,sigma,0.1081373291858124
546,500,10,2,13,coef,0.0904818110918101
547,500,10,2,13,sigma,0.11087561667582083
548,500,10,2,14,coef,0.08774236312652522
549,500,10,2,14,sigma,0.11955832339477174
550,500,10,2,15,coef,0.08741652263451456
551,500,10,2,15,sigma,0.11059970000944236
552,500,10,2,16,coef,0.09242202369378576
553,500,10,2,16,sigma,0.11782734097187351
554,500,10,2,17,coef,0.08924871317938315
555,500,10,2,17,sigma,0.09641679828076165
556,500,10,2,18,coef,0.09606571165355207
557,500,10,2,18,sigma,0.1436910763293166
558,500,10,2,19,coef,0.11773390843254315
559,500,10,2,19,sigma,0.11156284313045493
560,500,10,3,0,coef,0.09685660754175715
561,500,10,3,0,sigma,0.08409957443246187
562,500,10,3,1,coef,0.11205108977831972
563,500,10,3,1,sigma,0.10906219504016493
564,500,10,3,2,coef,0.09294803662153168
565,500,10,3,2,sigma,0.0925057779606522
566,500,10,3,3,coef,0.11832292655596814
567,500,10,3,3,sigma,0.1275429769020076
568,500,10,3,4,coef,0.10340995032743196
569,500,10,3,4,sigma,0.12484312543320111
570,500,10,3,5,coef,0.12523108014174208
571,500,10,3,5,sigma,0.11531918558622904
572,500,10,3,6,coef,0.11223616678171511
573,500,10,3,6,sigma,0.10793377496231812
574,500,10,3,7,coef,0.11820834409397049
575,500,10,3,7,sigma,0.09332560132143503
576,500,10,3,8,coef,0.1276190216203702
577,500,10,3,8,sigma,0.12975896710561652
578,500,10,3,9,coef,0.105855294059489
579,500,10,3,9,sigma,0.1042719527437858
580,500,10,3,10,coef,0.13073926945409406
581,500,10,3,10,sigma,0.11589258134245747
582,500,10,3,11,coef,0.14922640315570582
583,500,10,3,11,sigma,0.10665078896020051
584,500,10,3,12,coef,0.08490168461216609
585,500,10,3,12,sigma,0.1243542899744467
586,500,10,3,13,coef,0.09641378585247336
587,500,10,3,13,sigma,0.10129804785249788
588,500,10,3,14,coef,0.1228313389050812
589,500,10,3,14,sigma,0.11323150630612643
590,500,10,3,15,coef,0.13302623026685484
591,500,10,3,15,sigma,0.11345372764309627
592,500,10,3,16,coef,0.12361613453333814
593,500,10,3,16,sigma,0.13358378140330826
594,500,10,3,17,coef,0.11999854539155828
595,500,10,3,17,sigma,0.09681276488176803
596,500,10,3,18,coef,0.12563249903273976
597,500,10,3,18,sigma,0.12241745255692213
598,500,10,3,19,coef,0.14465995318700006
599,500,10,3,19,sigma,0.1032520177997421
600,500,10,4,0,coef,0.15669581843031205
601,500,10,4,0,sigma,0.08199641213996806
602,500,10,4,1,coef,0.11416496660503195
603,500,10,4,1,sigma,0.10053997878910265
604,500,10,4,2,coef,0.12155373786953545
605,500,10,4,2,sigma,0.09169731043899515
606,500,10,4,3,coef,0.15819174590387478
607,500,10,4,3,sigma,0.11070564444013997
608,500,10,4,4,coef,0.12979167058379515
609,500,10,4,4,sigma,0.11851638678642393
610,500,10,4,5,coef,0.12204900191912685
611,500,10,4,5,sigma,0.11739470974964299
612,500,10,4,6,coef,0.1009250871513851
613,500,10,4,6,sigma,0.10536503929526285
614,500,10,4,7,coef,0.11929388580956983
615,500,10,4,7,sigma,0.09045487160855342
616,500,10,4,8,coef,0.1388241817288283
617,500,10,4,8,sigma,0.11947173740159349
618,500,10,4,9,coef,0.1349373686094864
619,500,10,4,9,sigma,0.10746636315160875
620,500,10,4,10,coef,0.14475232258504242
